scene,iteration,candidate_id,parent_index,native_action,importance_score,pruning_score,grad,grad_abs,opacity,scale_x,scale_y,scale_z,scale_max,scale_min,scale_anisotropy,footprint_mean,footprint_max,footprint_area_mean,projected_radius_mean,projected_radius_max,residual_energy_mean,residual_energy_std,residual_anisotropy_mean,residual_anisotropy_std,residual_extent_mean,num_visible_views,num_valid_local_views,num_valid_demand_views,keep_local_error_0,clone_local_error_0,split_local_error_0,keep_local_error_50,clone_local_error_50,split_local_error_50,keep_local_error_100,clone_local_error_100,split_local_error_100,keep_demand_error_0,clone_demand_error_0,split_demand_error_0,keep_demand_error_100,clone_demand_error_100,split_demand_error_100,deltaQ_support_clone_100,deltaQ_support_split_100,deltaQ_demand_clone_100,deltaQ_demand_split_100,quality_action_gap,oracle_winner,oracle_basis,tile_keep_0,tile_clone_0,tile_split_0,deltaTile_clone_0,deltaTile_split_0,tile_action_gap_0,tile_keep_100,tile_clone_100,tile_split_100,deltaTile_clone_100,deltaTile_split_100,tile_action_gap_100,global_PSNR_keep_100,global_PSNR_clone_100,global_PSNR_split_100,global_SSIM_keep_100,global_SSIM_clone_100,global_SSIM_split_100,global_LPIPS_keep_100,global_LPIPS_clone_100,global_LPIPS_split_100,latency_keep_ms,latency_clone_ms,latency_split_ms,num_gaussians_keep,num_gaussians_clone,num_gaussians_split
/mnt/workspace/Dataset/room,1000,it1000_c10,77808,split,9,0.00011704048,3.6743942e-05,0.00083312963,0.24902306,0.011468791,0.016020749,0.012548373,0.016020749,0.011468791,1.3968995,14.142857,17,637.74331,14.142857,17,0.028020674,0.0077643823,1.0540118,0.025076806,25.073855,7,7,7,0.028020672,0.02786012,0.028174754,0.022460765,0.022536901,0.022468017,0.024348453,0.024422816,0.024362907,0.071921285,0.071691071,0.072079855,0.047356209,0.047481203,0.047405921,-7.436358e-05,-1.4454792e-05,-0.0001249932,-4.9711338e-05,7.5281864e-05,keep,demand,412361.71,412366.14,412361.57,4.4285714,-0.14285714,-4.5714286,407153,407152.57,407155.57,-0.42857143,2.5714286,3,26.217253,26.217249,26.217159,0.83979585,0.83979658,0.83979498,0.34482275,0.34482734,0.34481443,1.8796125,2.0486862,1.9106702,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c11,6978,split,11,0.00020485537,0.00011939508,0.00081274728,0.40450275,0.033643719,0.080204934,0.040867142,0.080204934,0.033643719,2.3839497,48.8,60,7684.3356,48.8,60,0.032370299,0.0016156761,1.2921783,0.32715702,52.425019,5,5,5,0.032370298,0.032361424,0.032418063,0.034300933,0.034342618,0.03427174,0.032533624,0.032476297,0.032555536,0.10443947,0.10436539,0.10439393,0.097284745,0.097264153,0.097386739,5.7327375e-05,-2.1911785e-05,2.0591915e-05,-0.00010199398,-0.00012258589,clone,demand,434546.2,434559.2,434547.4,13,1.2,-11.8,427041.8,427054,427046,12.2,4.2,-8,26.217081,26.217304,26.217434,0.83979419,0.83979591,0.83980285,0.34481689,0.34481907,0.34482233,2.4982187,2.1278578,1.9891911,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c12,11037,split,18,0.00030427318,0.00030294343,0.00092979934,0.74261349,0.0047186203,0.0097020417,0.0061798627,0.0097020417,0.0047186203,2.0561183,8,10,204.20352,8,10,0.045005754,0.0085221293,1.2232157,0.17328972,18.704523,8,8,8,0.045005753,0.045004398,0.045521651,0.041760531,0.041600681,0.041820857,0.041581675,0.041346704,0.041702466,0.10549588,0.10492363,0.10557256,0.076088858,0.075756156,0.076833596,0.00023497106,-0.00012079044,0.00033270195,-0.00074473815,-0.0010774401,clone,demand,449118.12,449120.38,449119,2.25,0.875,-1.375,441838.88,441840.88,441836.5,2,-2.375,-4.375,26.216957,26.217041,26.217172,0.83979329,0.83979511,0.83979455,0.34481878,0.34482266,0.34481831,2.3179983,1.9485582,1.9365085,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c13,59735,split,29,0.00035599811,0.00010802207,0.0015717945,0.25971812,0.045258693,0.022365797,0.044880919,0.045258693,0.022365797,2.0235672,41,75,6011.9611,41,75,0.033521526,0.01374158,1.2757479,0.20724249,43.304926,6,6,6,0.033521525,0.033674886,0.033591104,0.034394233,0.03431024,0.0345376,0.035062814,0.035006364,0.035029922,0.076016488,0.076001449,0.075772628,0.070194792,0.07010442,0.07007115,5.6449013e-05,3.2891209e-05,9.0371817e-05,0.00012364176,3.3269947e-05,split,demand,385473.33,385484.33,385472.5,11,-0.83333333,-11.833333,380210.5,380218.5,380219.67,8,9.1666667,1.1666667,26.217299,26.217263,26.216859,0.83979517,0.83979658,0.83979411,0.3448234,0.34481181,0.34482205,1.9388871,1.9130809,1.93856,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c14,26134,split,33,0.00054428639,0.00029089733,0.0013309744,0.90144312,0.0092898356,0.0047278814,0.01497338,0.01497338,0.0047278814,3.1670379,12.625,13,501.47673,12.625,13,0.077134782,0.022315095,1.1395987,0.079271125,22.987968,8,8,8,0.077134782,0.077533379,0.077641652,0.082470824,0.083009944,0.08300499,0.08565046,0.086289723,0.085793891,0.14428054,0.14441506,0.14435366,0.14709848,0.14776342,0.14703527,-0.00063926261,-0.0001434302,-0.00066494197,6.3210726e-05,0.00072815269,split,demand,506812.75,506816.5,506814.25,3.75,1.5,-2.25,502203.12,502209.75,502204.62,6.625,1.5,-5.125,26.217341,26.216833,26.217147,0.83979578,0.83979161,0.83979162,0.34482324,0.34482369,0.34481963,2.0753173,1.8881422,2.064384,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c15,6606,split,62,0.00097340095,0.00046116256,0.0016536373,0.43885168,0.013112812,0.050469548,0.040909879,0.050469548,0.013112812,3.8488729,31.375,41,3229.9499,31.375,41,0.023577167,0.0037485352,1.2318274,0.22926552,37.371897,8,8,8,0.023577167,0.02489729,0.023999644,0.020450686,0.020397111,0.020367865,0.019630782,0.019630098,0.019718218,0.090283375,0.092077862,0.090756888,0.058144503,0.058185204,0.058027618,6.8417285e-07,-8.7436405e-05,-4.070159e-05,0.00011688471,0.0001575863,split,demand,433934.12,433941.25,433935.88,7.125,1.75,-5.375,426563.12,426571.5,426573.5,8.375,10.375,2,26.217191,26.217249,26.216915,0.8397944,0.83979568,0.83979189,0.34482102,0.34481925,0.34482044,2.0165974,1.9352604,1.9800711,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c16,8796,split,86,0.0011960918,6.818882e-05,0.00083599653,0.20607211,0.028462132,0.034700207,0.037543021,0.037543021,0.028462132,1.3190516,34.625,43,3836.2773,34.625,43,0.036449715,0.010664807,1.2563957,0.47802505,40.183572,8,8,8,0.036449715,0.036665143,0.03641447,0.031998456,0.031990514,0.032004269,0.030579516,0.030582631,0.030560977,0.083679352,0.083950228,0.083630947,0.061629826,0.061694017,0.061617314,-3.115274e-06,1.853914e-05,-6.4190943e-05,1.2511853e-05,7.6702796e-05,split,demand,419512.12,419523.12,419513,11,0.875,-10.125,414178.38,414183.38,414174.12,5,-4.25,-9.25,26.21729,26.21711,26.21722,0.8397956,0.83979546,0.83979501,0.34481574,0.34482502,0.34481961,1.9236373,1.9425387,1.8689138,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c17,87170,split,139,0.0022983004,0.00042410882,0.0028051557,0.80455947,0.017074771,0.037352003,0.048594993,0.048594993,0.017074771,2.8460113,31,31,3019.0705,31,31,0.053400047,0,1.1826228,0,34.873212,1,1,1,0.053400047,0.053317726,0.055677298,0.066864863,0.06607344,0.068670876,0.047476858,0.046022289,0.047629829,0.10321378,0.10253638,0.10760921,0.082581297,0.080060773,0.082174405,0.0014545694,-0.0001529716,0.002520524,0.00040689111,-0.0021136329,clone,demand,235746,235755,235749,9,3,-6,235077,235078,235089,1,12,11,26.217039,26.217616,26.217246,0.83979397,0.83980712,0.8397969,0.34481721,0.34480943,0.34482785,2.2063787,1.913536,1.8384213,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c18,79927,split,370,0.0059261164,0.00020980398,0.001681769,0.49657166,0.31636342,0.14698941,0.072530903,0.31636342,0.072530903,4.3617742,254,411,218500.13,254,411,0.023647639,0.0025621055,1.3806034,0.35884225,168.47593,8,8,8,0.023647638,0.023760802,0.023801851,0.024571701,0.024576521,0.024636052,0.022704362,0.022707051,0.022727239,0.11001851,0.11005977,0.11009695,0.096304136,0.096262401,0.096207983,-2.6887283e-06,-2.2876775e-05,4.1735359e-05,9.6153468e-05,5.4418109e-05,split,demand,537859.62,537977.5,537852.12,117.875,-7.5,-125.375,532275.62,532332.62,532242.88,57,-32.75,-89.75,26.217023,26.217119,26.217139,0.83979362,0.83979332,0.83979466,0.34481845,0.34482828,0.34481726,2.7754809,2.0161422,2.1892978,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c19,63098,split,984,0.016416181,0.00045002848,0.0023672853,0.3666999,0.14989208,0.033529151,0.09502545,0.14989208,0.033529151,4.4705002,159.875,273,91637.509,159.875,273,0.061266415,0.035829437,1.6336384,0.48883283,105.10043,8,8,8,0.061266412,0.061322988,0.061791285,0.061286504,0.061331615,0.06141341,0.058499585,0.058550229,0.058497671,0.15722852,0.15723688,0.15945692,0.13660895,0.13673866,0.13640094,-5.0643459e-05,1.9145664e-06,-0.00012970529,0.00020801462,0.00033771992,split,demand,473527.25,473570.25,473537.38,43,10.125,-32.875,467802.5,467826.12,467810.62,23.625,8.125,-15.5,26.217232,26.216977,26.217398,0.83979595,0.83979247,0.83979605,0.34482361,0.34482215,0.34481304,1.9628942,1.8701831,2.5298346,112627,112628,112628
